name,ring,quadrant,isNew,description
TypeScript,adopt,Languages & Frameworks,FALSE,
JavaScript,hold,Languages & Frameworks,FALSE,
HTML,adopt,Languages & Frameworks,FALSE,
CSS,hold,Languages & Frameworks,FALSE,
Less,trial,Languages & Frameworks,FALSE,
Jest,trial,Techniques & Tools,FALSE,
React,adopt,Languages & Frameworks,FALSE,
Angular,hold,Languages & Frameworks,FALSE,
Lerna,assess,Techniques & Tools,FALSE,
Yarn,adopt,Platform & Infrastructure,FALSE,
Npm,hold,Platform & Infrastructure,FALSE,
Cypress,assess,Techniques & Tools,TRUE,
Jenkins,trial,Techniques & Tools,TRUE,
Git,adopt,Data Management,FALSE,
GitLab,adopt,Data Management,FALSE,
ESLint,trial,Techniques & Tools,FALSE,
Visual Studio Code,adopt,Techniques & Tools,FALSE,
Pm2,assess,Techniques & Tools,FALSE,
NextJS,assess,Data Management,TRUE,
ReactDOM,assess,Techniques & Tools,FALSE,
Webpack,adopt,Platform & Infrastructure,FALSE,
Babel,assess,Platform & Infrastructure,FALSE,
MDX,assess,Techniques & Tools,TRUE,
Stitches,assess,Techniques & Tools,TRUE,
NodeJS,hold,Languages & Frameworks,FALSE,
Functional programming,adopt,Data Management,FALSE,
Apollo,trial,Data Management,TRUE,
GraphQL,adopt,Data Management,FALSE,
Rest,hold,Data Management,FALSE,
Relay,hold,Data Management,FALSE,